CustomerID,Age,Tenure,MonthlySpend,SubscriptionType,TotalSpend,Churn,CLV
1,56,11,625,0,6875,0,9280.553072805813
2,69,22,3244,2,71368,0,86735.62804364126
3,46,54,3488,0,188352,0,183817.15171739375
4,32,24,3114,1,74736,0,106310.2612547864
5,60,1,1439,1,1439,0,1968.2284971286874
6,25,18,3591,1,64638,0,58952.22319835477
7,38,44,4413,2,194172,0,267677.33076200454
8,56,12,4197,1,50364,0,74581.58787952086
9,36,57,3206,0,182742,0,227706.28709059875
10,40,43,3239,0,139277,0,138895.89024174365
11,28,28,798,2,22344,0,27362.81279618122
12,28,40,2287,0,91480,1,95118.57568798048
13,41,7,1384,2,9688,1,12334.398585307865
14,53,23,2950,2,67850,1,80155.27407435671
15,57,21,2784,1,58464,1,84810.41740165066
16,41,34,4959,0,168606,0,207812.9614844402
17,20,11,3713,0,40843,0,38792.15773592814
18,39,22,4945,0,108790,0,142251.29218460454
19,19,42,4254,1,178668,0,180564.52910689765
20,41,35,4583,2,160405,0,158909.00956542708
21,61,52,4136,0,215072,0,231039.72769089174
22,47,29,1899,0,55071,1,44519.26837886243
23,55,42,4707,0,197694,0,292270.50556894694
24,19,28,2775,0,77700,1,91113.4891467996
25,38,59,335,1,19765,0,26513.674768679346
26,50,18,2225,2,40050,0,39268.88705436382
27,29,14,3735,0,52290,0,69160.46347218561
28,39,18,3090,0,55620,0,66578.21633569692
29,61,28,2957,2,82796,0,90819.00870857338
30,42,24,3973,1,95352,0,141070.27643939952
31,66,8,580,1,4640,0,5316.004383547527
32,44,42,1728,1,72576,0,91461.79982745762
33,59,54,4771,1,257634,0,208874.06911361258
34,45,45,3828,0,172260,1,174158.07171002
35,33,53,1048,2,55544,0,78988.23904555631
36,32,8,4327,2,34616,0,46083.28880171448
37,64,4,2127,2,8508,0,10003.0923378477
38,68,27,2365,1,63855,0,91319.7886684032
39,61,36,4486,1,161496,0,184162.66760067717
40,69,5,2321,2,11605,0,13886.020135929395
41,20,33,4918,0,162294,1,173249.97992815493
42,54,49,3118,1,152782,0,188537.26982341698
43,68,34,4881,0,165954,1,169820.90604370987
44,24,30,672,2,20160,0,21568.065609477748
45,38,8,1987,1,15896,0,23469.30559595992
46,26,39,313,0,12207,0,10716.721538019518
47,56,47,1536,1,72192,0,63072.615718801535
48,35,26,538,2,13988,0,11614.533136095733
49,21,57,2485,2,141645,0,145048.89420101017
50,42,37,1396,2,51652,0,55720.13578236726
51,31,34,278,0,9452,0,8186.953307421746
52,67,7,4759,1,33313,0,39455.640594058634
53,26,40,2852,1,114080,0,137844.12690420562
54,43,28,4857,1,135996,0,180292.43835724672
55,19,39,4580,2,178620,0,264925.1974929401
56,37,39,4518,0,176202,0,217353.3732741908
57,45,28,2840,2,79520,0,69830.93050308815
58,64,14,1456,2,20384,0,17570.334722025425
59,24,53,1027,0,54431,1,73170.65733474736
60,61,50,2918,2,145900,0,183138.6245473742
61,25,38,3010,2,114380,0,104467.83792657558
62,64,4,3585,1,14340,0,14015.227405797315
63,52,42,2165,0,90930,0,120497.55089155608
64,31,18,2627,0,47286,1,56568.669608923265
65,34,44,3041,1,133804,0,161835.94385416282
66,53,48,813,0,39024,0,36955.96487183757
67,67,25,762,1,19050,0,23628.488185405582
68,57,7,4552,2,31864,0,42679.916694839754
69,21,38,384,0,14592,0,20715.92033177792
70,19,28,2392,0,66976,1,88120.46568290958
71,23,5,4265,2,21325,1,25663.847530437088
72,59,3,445,2,1335,0,1697.1608226221128
73,21,44,4286,0,188584,0,214906.18203270197
74,46,31,2434,0,75454,0,72347.46602533797
75,35,47,1065,0,50055,0,70955.20901546946
76,43,42,2287,1,96054,0,112655.5740843847
77,61,58,800,0,46400,0,56423.45874606219
78,51,20,3233,0,64660,0,96542.30965429655
79,27,19,2256,2,42864,0,63846.39842343493
80,53,48,2331,2,111888,0,135431.21444277107
81,31,11,732,1,8052,1,6632.996711635246
82,48,40,2242,2,89680,0,96612.55784830308
83,65,3,557,0,1671,1,2433.151949675525
84,32,23,577,0,13271,0,13295.081751195414
85,25,7,2419,1,16933,0,25390.831652500452
86,31,23,4688,2,107824,0,92623.21711104664
