CustomerID,Age,Tenure,MonthlySpend,SubscriptionType,TotalSpend,Churn,CLV,Segment
1,56,11,625,0,6875,0,9280.553073,0
2,69,22,3244,2,71368,0,86735.62804,1
3,46,54,3488,0,188352,0,183817.1517,1
4,32,24,3114,1,74736,0,106310.2613,1
5,60,1,1439,1,1439,0,1968.228497,2
6,25,18,3591,1,64638,0,58952.2232,1
7,38,44,4413,2,194172,0,267677.3308,3
8,56,12,4197,1,50364,0,74581.58788,3
9,36,57,3206,0,182742,0,227706.2871,1
10,40,43,3239,0,139277,0,138895.8902,1
11,28,28,798,2,22344,0,27362.8128,0
12,28,40,2287,0,91480,1,95118.57569,2
13,41,7,1384,2,9688,1,12334.39859,0
14,53,23,2950,2,67850,1,80155.27407,1
15,57,21,2784,1,58464,1,84810.4174,1
16,41,34,4959,0,168606,0,207812.9615,3
17,20,11,3713,0,40843,0,38792.15774,1
18,39,22,4945,0,108790,0,142251.2922,3
19,19,42,4254,1,178668,0,180564.5291,3
20,41,35,4583,2,160405,0,158909.0096,3
21,61,52,4136,0,215072,0,231039.7277,3
22,47,29,1899,0,55071,1,44519.26838,2
23,55,42,4707,0,197694,0,292270.5056,3
24,19,28,2775,0,77700,1,91113.48915,1
25,38,59,335,1,19765,0,26513.67477,0
26,50,18,2225,2,40050,0,39268.88705,2
27,29,14,3735,0,52290,0,69160.46347,1
28,39,18,3090,0,55620,0,66578.21634,1
29,61,28,2957,2,82796,0,90819.00871,1
30,42,24,3973,1,95352,0,141070.2764,3
31,66,8,580,1,4640,0,5316.004384,0
32,44,42,1728,1,72576,0,91461.79983,2
33,59,54,4771,1,257634,0,208874.0691,3
34,45,45,3828,0,172260,1,174158.0717,1
35,33,53,1048,2,55544,0,78988.23905,0
36,32,8,4327,2,34616,0,46083.2888,3
37,64,4,2127,2,8508,0,10003.09234,2
38,68,27,2365,1,63855,0,91319.78867,2
39,61,36,4486,1,161496,0,184162.6676,3
40,69,5,2321,2,11605,0,13886.02014,2
41,20,33,4918,0,162294,1,173249.9799,3
42,54,49,3118,1,152782,0,188537.2698,1
43,68,34,4881,0,165954,1,169820.906,3
44,24,30,672,2,20160,0,21568.06561,0
45,38,8,1987,1,15896,0,23469.3056,2
46,26,39,313,0,12207,0,10716.72154,0
47,56,47,1536,1,72192,0,63072.61572,2
48,35,26,538,2,13988,0,11614.53314,0
49,21,57,2485,2,141645,0,145048.8942,2
50,42,37,1396,2,51652,0,55720.13578,0
51,31,34,278,0,9452,0,8186.953307,0
52,67,7,4759,1,33313,0,39455.64059,3
53,26,40,2852,1,114080,0,137844.1269,1
54,43,28,4857,1,135996,0,180292.4384,3
55,19,39,4580,2,178620,0,264925.1975,3
56,37,39,4518,0,176202,0,217353.3733,3
57,45,28,2840,2,79520,0,69830.9305,1
58,64,14,1456,2,20384,0,17570.33472,2
59,24,53,1027,0,54431,1,73170.65733,0
60,61,50,2918,2,145900,0,183138.6245,1
61,25,38,3010,2,114380,0,104467.8379,1
62,64,4,3585,1,14340,0,14015.22741,1
63,52,42,2165,0,90930,0,120497.5509,2
64,31,18,2627,0,47286,1,56568.66961,2
65,34,44,3041,1,133804,0,161835.9439,1
66,53,48,813,0,39024,0,36955.96487,0
67,67,25,762,1,19050,0,23628.48819,0
68,57,7,4552,2,31864,0,42679.91669,3
69,21,38,384,0,14592,0,20715.92033,0
70,19,28,2392,0,66976,1,88120.46568,2
71,23,5,4265,2,21325,1,25663.84753,3
72,59,3,445,2,1335,0,1697.160823,0
73,21,44,4286,0,188584,0,214906.182,3
74,46,31,2434,0,75454,0,72347.46603,2
75,35,47,1065,0,50055,0,70955.20902,0
76,43,42,2287,1,96054,0,112655.5741,2
77,61,58,800,0,46400,0,56423.45875,0
78,51,20,3233,0,64660,0,96542.30965,1
79,27,19,2256,2,42864,0,63846.39842,2
80,53,48,2331,2,111888,0,135431.2144,2
81,31,11,732,1,8052,1,6632.996712,0
82,48,40,2242,2,89680,0,96612.55785,2
83,65,3,557,0,1671,1,2433.15195,0
84,32,23,577,0,13271,0,13295.08175,0
85,25,7,2419,1,16933,0,25390.83165,2
86,31,23,4688,2,107824,0,92623.21711,3
87,40,7,4997,2,34979,0,41893.64616,3
88,57,46,3507,2,161322,0,187264.9252,1
89,38,34,2796,1,95064,1,93043.60855,1
90,33,42,983,2,41286,0,60443.7358,0
91,62,19,2579,2,49001,0,60438.80592,2
92,35,58,3803,2,220574,0,212006.8614,1
93,64,9,1182,0,10638,1,11370.25331,0
94,41,48,4142,1,198816,0,259427.1648,3
95,43,51,2790,0,142290,0,143483.4857,1
96,42,18,1242,1,22356,1,31649.93338,0
97,62,41,2738,2,112258,0,102825.1543,1
98,58,48,1061,0,50928,0,50171.90065,0
99,46,45,2076,2,93420,0,84211.49992,2
100,32,42,2035,2,85470,0,74608.91574,2
101,62,25,4408,1,110200,1,111326.3318,3
102,18,52,3726,2,193752,0,290516.6163,1
103,42,14,1885,0,26390,0,22854.54725,2
104,24,44,3601,1,158444,1,150379.4435,1
105,26,25,1822,1,45550,0,45100.50164,2
106,41,19,2857,0,54283,1,66952.15166,1
107,18,39,2132,2,83148,0,109900.2028,2
108,61,55,707,2,38885,0,51575.25866,0
109,25,15,4761,2,71415,0,57563.71706,3
110,41,16,3678,2,58848,1,73930.46706,1
111,28,27,2856,2,77112,0,95735.76757,1
112,68,40,1321,1,52840,1,61419.01137,0
113,34,10,489,1,4890,0,5210.030906,0
114,25,4,3029,0,12116,0,16456.08373,1
115,52,51,2409,2,122859,0,127861.3955,2
116,52,19,1600,2,30400,0,29214.66115,2
117,50,28,766,2,21448,0,21814.04491,0
118,22,21,1673,0,35133,1,38918.70519,2
119,59,59,2187,2,129033,0,122560.7269,2
120,56,47,3987,1,187389,0,229607.7178,3
121,58,14,4065,2,56910,1,80752.242,3
122,45,33,3460,0,114180,0,138936.7459,1
123,24,48,3747,1,179856,1,200119.9826,1
124,26,10,3451,1,34510,0,46857.95879,1
125,25,19,1916,1,36404,0,48185.31862,2
126,29,30,1212,2,36360,0,38430.36331,0
