CustomerID,Age,Tenure,MonthlySpend,SubscriptionType,TotalSpend,Churn,CLV,Segment
1,56,11,625,0,6875,0,9280.553072805811,0
2,69,22,3244,2,71368,0,86735.62804364126,1
3,46,54,3488,0,188352,0,183817.15171739372,1
4,32,24,3114,1,74736,0,106310.2612547864,1
5,60,1,1439,1,1439,0,1968.2284971286876,2
6,25,18,3591,1,64638,0,58952.22319835477,1
7,38,44,4413,2,194172,0,267677.33076200454,3
8,56,12,4197,1,50364,0,74581.58787952086,3
9,36,57,3206,0,182742,0,227706.28709059875,1
10,40,43,3239,0,139277,0,138895.89024174365,1
11,28,28,798,2,22344,0,27362.81279618122,0
12,28,40,2287,0,91480,1,95118.57568798048,2
13,41,7,1384,2,9688,1,12334.398585307865,0
14,53,23,2950,2,67850,1,80155.27407435671,1
15,57,21,2784,1,58464,1,84810.41740165066,1
16,41,34,4959,0,168606,0,207812.9614844402,3
17,20,11,3713,0,40843,0,38792.15773592814,1
18,39,22,4945,0,108790,0,142251.29218460454,3
19,19,42,4254,1,178668,0,180564.52910689765,3
20,41,35,4583,2,160405,0,158909.00956542708,3
21,61,52,4136,0,215072,0,231039.7276908917,3
22,47,29,1899,0,55071,1,44519.26837886243,2
23,55,42,4707,0,197694,0,292270.50556894694,3
24,19,28,2775,0,77700,1,91113.4891467996,1
25,38,59,335,1,19765,0,26513.674768679342,0
26,50,18,2225,2,40050,0,39268.88705436382,2
27,29,14,3735,0,52290,0,69160.46347218561,1
28,39,18,3090,0,55620,0,66578.21633569692,1
29,61,28,2957,2,82796,0,90819.00870857338,1
30,42,24,3973,1,95352,0,141070.27643939952,3
31,66,8,580,1,4640,0,5316.004383547527,0
32,44,42,1728,1,72576,0,91461.79982745762,2
33,59,54,4771,1,257634,0,208874.06911361255,3
34,45,45,3828,0,172260,1,174158.07171002,1
35,33,53,1048,2,55544,0,78988.23904555631,0
36,32,8,4327,2,34616,0,46083.28880171448,3
37,64,4,2127,2,8508,0,10003.0923378477,2
38,68,27,2365,1,63855,0,91319.7886684032,2
39,61,36,4486,1,161496,0,184162.6676006772,3
40,69,5,2321,2,11605,0,13886.020135929395,2
41,20,33,4918,0,162294,1,173249.9799281549,3
42,54,49,3118,1,152782,0,188537.26982341695,1
43,68,34,4881,0,165954,1,169820.90604370987,3
44,24,30,672,2,20160,0,21568.065609477748,0
45,38,8,1987,1,15896,0,23469.30559595992,2
46,26,39,313,0,12207,0,10716.721538019518,0
47,56,47,1536,1,72192,0,63072.615718801535,2
48,35,26,538,2,13988,0,11614.533136095732,0
49,21,57,2485,2,141645,0,145048.89420101015,2
50,42,37,1396,2,51652,0,55720.13578236726,0
51,31,34,278,0,9452,0,8186.953307421746,0
52,67,7,4759,1,33313,0,39455.64059405864,3
53,26,40,2852,1,114080,0,137844.12690420562,1
54,43,28,4857,1,135996,0,180292.43835724672,3
55,19,39,4580,2,178620,0,264925.1974929401,3
56,37,39,4518,0,176202,0,217353.3732741908,3
57,45,28,2840,2,79520,0,69830.93050308815,1
58,64,14,1456,2,20384,0,17570.334722025425,2
59,24,53,1027,0,54431,1,73170.65733474736,0
60,61,50,2918,2,145900,0,183138.6245473742,1
61,25,38,3010,2,114380,0,104467.83792657558,1
62,64,4,3585,1,14340,0,14015.227405797315,1
63,52,42,2165,0,90930,0,120497.55089155608,2
64,31,18,2627,0,47286,1,56568.66960892327,2
65,34,44,3041,1,133804,0,161835.94385416282,1
66,53,48,813,0,39024,0,36955.96487183757,0
67,67,25,762,1,19050,0,23628.488185405586,0
68,57,7,4552,2,31864,0,42679.91669483976,3
69,21,38,384,0,14592,0,20715.92033177792,0
70,19,28,2392,0,66976,1,88120.46568290958,2
71,23,5,4265,2,21325,1,25663.847530437088,3
72,59,3,445,2,1335,0,1697.1608226221128,0
73,21,44,4286,0,188584,0,214906.182032702,3
74,46,31,2434,0,75454,0,72347.46602533797,2
75,35,47,1065,0,50055,0,70955.20901546946,0
76,43,42,2287,1,96054,0,112655.5740843847,2
77,61,58,800,0,46400,0,56423.45874606219,0
78,51,20,3233,0,64660,0,96542.30965429656,1
79,27,19,2256,2,42864,0,63846.39842343493,2
80,53,48,2331,2,111888,0,135431.21444277107,2
81,31,11,732,1,8052,1,6632.996711635246,0
82,48,40,2242,2,89680,0,96612.55784830308,2
83,65,3,557,0,1671,1,2433.151949675525,0
84,32,23,577,0,13271,0,13295.081751195414,0
85,25,7,2419,1,16933,0,25390.83165250045,2
86,31,23,4688,2,107824,0,92623.21711104664,3
87,40,7,4997,2,34979,0,41893.64615616631,3
88,57,46,3507,2,161322,0,187264.9251774714,1
89,38,34,2796,1,95064,1,93043.60854947093,1
90,33,42,983,2,41286,0,60443.73579706952,0
91,62,19,2579,2,49001,0,60438.80592275474,2
92,35,58,3803,2,220574,0,212006.86137476825,1
93,64,9,1182,0,10638,1,11370.253310022956,0
94,41,48,4142,1,198816,0,259427.1648144889,3
95,43,51,2790,0,142290,0,143483.48567469095,1
96,42,18,1242,1,22356,1,31649.93337729584,0
97,62,41,2738,2,112258,0,102825.15430584888,1
98,58,48,1061,0,50928,0,50171.90065164591,0
99,46,45,2076,2,93420,0,84211.49992246274,2
100,32,42,2035,2,85470,0,74608.91574414202,2
101,62,25,4408,1,110200,1,111326.33176600732,3
102,18,52,3726,2,193752,0,290516.616321989,1
103,42,14,1885,0,26390,0,22854.547251182797,2
104,24,44,3601,1,158444,1,150379.44349953622,1
105,26,25,1822,1,45550,0,45100.5016386021,2
106,41,19,2857,0,54283,1,66952.15166354325,1
107,18,39,2132,2,83148,0,109900.20277544408,2
108,61,55,707,2,38885,0,51575.258662689695,0
109,25,15,4761,2,71415,0,57563.71705511314,3
110,41,16,3678,2,58848,1,73930.46705960165,1
111,28,27,2856,2,77112,0,95735.76756922924,1
112,68,40,1321,1,52840,1,61419.011373742775,0
113,34,10,489,1,4890,0,5210.030905685067,0
114,25,4,3029,0,12116,0,16456.083727508183,1
115,52,51,2409,2,122859,0,127861.39545230236,2
116,52,19,1600,2,30400,0,29214.661150428477,2
117,50,28,766,2,21448,0,21814.044912888312,0
118,22,21,1673,0,35133,1,38918.70519060173,2
119,59,59,2187,2,129033,0,122560.72686231024,2
120,56,47,3987,1,187389,0,229607.71777864,3
121,58,14,4065,2,56910,1,80752.24200046639,3
122,45,33,3460,0,114180,0,138936.745883778,1
123,24,48,3747,1,179856,1,200119.98257675636,1
124,26,10,3451,1,34510,0,46857.95878569501,1
125,25,19,1916,1,36404,0,48185.31861898705,2
126,29,30,1212,2,36360,0,38430.36330919928,0
127,51,22,1510,0,33220,0,40624.98480685233,2
128,50,3,4770,0,14310,0,18758.835931805315,3
129,65,37,817,2,30229,1,29377.27617866878,0
130,40,41,4936,0,202376,1,213788.32978747945,3
131,41,18,4457,1,80226,0,70120.99372515937,3
132,54,11,2182,1,24002,1,35796.011427944424,2
133,52,48,2428,0,116544,0,100241.16742363977,2
134,61,2,668,0,1336,1,1226.4804482155696,0
135,57,12,4316,2,51792,0,58829.6194359036,3
136,39,54,4555,2,245970,0,345757.63902786525,3
137,44,6,1339,2,8034,0,8428.609320654736,0
138,52,43,1636,2,70348,0,94126.84125057458,2
139,18,59,736,2,43424,0,55288.47251977896,0
140,52,40,1151,2,46040,0,57414.86587870213,0
141,54,44,3013,1,132572,0,184475.53889662315,1
142,64,29,3206,0,92974,0,75301.4279555523,1
143,31,59,4194,2,247446,1,358897.4419457303,3
144,20,30,2040,1,61200,0,84484.04956560681,2
145,18,2,1050,0,2100,0,3058.6648128881857,0
146,22,9,2171,0,19539,0,26485.339563873065,2
147,43,47,1391,0,65377,0,92509.3693115966,0
148,31,2,4120,2,8240,0,7763.354182014596,3
149,56,29,4828,2,140012,0,143296.7300781127,3
150,44,33,2262,2,74646,0,76187.79144007534,2
151,26,10,3246,0,32460,0,28448.486799841205,1
152,32,34,4599,0,156366,0,204949.77288228125,3
153,32,44,3758,1,165352,1,148042.89061331502,1
154,43,55,4711,1,259105,0,216807.77123384053,3
155,59,8,504,1,4032,0,5414.221246043412,0
156,30,37,3047,1,112739,0,161584.7747646856,1
157,68,54,2635,0,142290,0,189940.9778273712,2
158,49,33,3004,2,99132,0,136578.77089372164,1
159,56,47,2184,2,102648,0,124915.9617901811,2
160,66,6,4136,2,24816,0,35274.01918518476,3
161,69,44,912,2,40128,0,46054.60213803921,0
162,49,40,3095,1,123800,0,184688.0381181237,1
163,21,45,1881,0,84645,0,73843.49640665401,2
164,47,19,1533,2,29127,0,39799.904510863846,2
165,54,32,3398,0,108736,0,135808.2836775814,1
166,40,27,374,1,10098,0,12182.754797828342,0
167,56,1,3405,1,3405,0,4453.969400307483,1
168,62,43,1616,2,69488,0,96463.52452450528,2
169,32,52,2187,2,113724,0,159670.6393321591,2
170,60,33,1972,1,65076,0,60049.96408117994,2
171,46,40,4466,1,178640,0,167550.9489437493,3
172,53,32,1274,0,40768,0,33075.75338189523,0
173,30,5,4960,1,24800,0,22128.785067273857,3
174,49,17,791,0,13447,1,13241.499516947057,0
175,24,8,3178,1,25424,0,33171.33032676287,1
176,68,57,4182,0,238374,0,270086.622933675,3
177,39,42,2610,1,109620,0,145852.96989950398,2
178,45,34,1047,1,35598,0,40602.19217748472,0
179,19,9,693,0,6237,0,7415.282919659631,0
180,59,56,745,0,41720,0,36619.58859487898,0
181,62,23,2486,2,57178,0,76823.83472084433,2
182,23,35,2897,2,101395,0,134925.1678126617,1
183,45,50,4037,1,201850,0,204936.9150965132,3
184,45,7,1740,1,12180,1,12545.456691326228,2
185,61,15,1083,0,16245,1,15494.10761519241,0
186,61,53,4156,1,220268,0,301698.3864327919,3
187,37,54,3294,2,177876,0,235313.0073340276,1
188,47,20,2565,0,51300,0,62914.49527819652,2
189,28,50,3547,1,177350,0,171528.5699930363,1
190,45,25,3271,0,81775,0,75257.31439214226,1
191,42,3,3875,2,11625,0,9709.062776433417,3
192,56,55,4915,2,270325,0,224890.9466682448,3
193,50,46,1152,2,52992,1,49335.302824506005,0
194,18,24,3500,1,84000,1,73111.31290060547,1
195,44,34,3935,1,133790,0,159113.15189220555,3
196,69,46,3379,1,155434,1,163308.76664652472,1
197,30,22,3163,1,69586,0,77342.19803856684,1
198,58,11,4227,1,46497,0,56533.23928467749,3
199,20,48,3447,1,165456,0,208701.43686544767,1
200,56,8,4615,2,36920,0,46288.12524864535,3
201,23,39,3557,2,138723,0,136309.16580548242,1
202,25,43,2904,1,124872,1,170667.42169489045,1
203,44,35,1237,2,43295,0,62448.56811140714,0
204,26,49,270,0,13230,0,13509.905033634011,0
205,54,46,3074,1,141404,0,114812.3827148758,1
206,50,38,305,0,11590,0,16566.83791627932,0
207,68,8,969,1,7752,1,11213.144844498744,0
208,59,54,2209,1,119286,0,99682.8379637764,2
209,61,37,3140,2,116180,0,93347.09978954228,1
210,41,27,2392,0,64584,0,88575.88055336228,2
211,32,28,3695,2,103460,0,104600.57905837554,1
212,49,40,4511,1,180440,0,259871.0443868217,3
213,49,34,4555,0,154870,0,147392.9540345783,3
214,41,32,1133,1,36256,1,50860.21523359988,0
215,58,15,774,2,11610,1,9845.871980055374,0
216,69,44,4130,1,181720,1,178530.04952572673,3
217,66,17,4580,1,77860,0,115325.47017119572,3
218,66,33,4287,2,141471,1,136072.13531943058,3
219,69,47,2731,1,128357,0,114636.80331784404,1
220,29,46,2619,0,120474,1,168656.16154142216,2
221,56,52,269,2,13988,1,12343.8582326117,0
222,19,54,4674,1,252396,1,219135.07238672263,3
223,20,16,1502,2,24032,1,24666.386977390048,2
224,66,29,4014,1,116406,0,144894.03509724795,3
225,54,9,2549,2,22941,0,29766.462792599938,2
226,66,33,454,2,14982,0,21227.50362151143,0
227,34,49,1907,0,93443,0,110135.47700413772,2
228,66,29,4987,2,144623,0,155526.4824023128,3
229,19,13,1033,0,13429,0,14116.345011372525,0
230,19,21,2964,2,62244,0,86695.42940194631,1
231,45,58,2671,2,154918,0,202426.8140801049,1
232,40,21,3942,1,82782,1,118692.85722993614,3
233,54,5,2235,1,11175,0,16481.167352460554,2
234,49,10,2167,1,21670,0,21887.47113255528,2
235,50,6,299,2,1794,0,2100.364758264514,0
236,18,56,2052,2,114912,1,142752.2548311354,2
237,36,51,3383,0,172533,0,157814.94523392778,1
238,19,57,2555,0,145635,0,121946.43669996562,2
239,61,13,311,0,4043,1,5690.258653337749,0
240,43,1,3358,1,3358,0,3945.20156438158,1
241,49,20,382,1,7640,0,9164.500509093488,0
242,23,57,4052,0,230964,0,274486.86581419554,3
243,49,47,364,2,17108,0,22727.507416794368,0
244,21,46,2337,1,107502,0,96950.82504004631,2
245,28,8,2223,1,17784,0,21871.36622947666,2
246,34,10,654,0,6540,0,7381.277204002391,0
247,55,9,2485,1,22365,0,31934.328466173178,2
248,41,49,741,0,36309,0,42254.041643854376,0
249,22,41,2865,1,117465,0,171505.2997107353,1
250,69,3,2649,2,7947,1,8322.711081323403,1
251,51,11,4133,2,45463,0,67140.95382562571,3
252,23,12,3086,1,37032,1,52311.79439361405,1
253,39,10,4814,0,48140,0,58200.50433750198,3
254,28,25,4492,1,112300,0,117645.13785820852,3
255,65,49,4104,0,201096,0,213794.478443196,3
256,33,49,1888,1,92512,0,124051.78871570063,2
257,50,25,1837,2,45925,0,55405.846361706856,2
258,26,11,4928,2,54208,0,58604.88188318466,3
259,23,54,4870,1,262980,0,327472.8136265197,3
260,33,36,4282,1,154152,0,202442.1763272585,3
261,46,39,2090,1,81510,1,66514.6345450484,2
262,20,53,3405,2,180465,1,155723.96328257,1
263,37,26,677,2,17602,0,15245.792905431785,0
264,53,14,2566,0,35924,0,34571.59301419603,2
265,36,39,2726,1,106314,0,116827.74308920886,1
266,43,56,566,1,31696,0,43187.54104558376,0
267,20,40,2036,2,81440,0,85167.45378725477,2
268,36,1,1915,1,1915,1,1555.4289753242008,2
269,37,56,212,0,11872,1,13514.530342770047,0
270,49,54,735,1,39690,0,59441.33226668226,0
271,24,4,3439,2,13756,0,14365.592971360347,1
272,69,30,2517,1,75510,0,111217.03009848396,2
273,58,12,4242,2,50904,0,44334.41078875792,3
274,50,56,575,0,32200,0,29661.66628918557,0
275,57,35,1924,0,67340,0,88005.6661425284,2
276,56,13,456,1,5928,0,6822.231178248843,0
277,35,52,2464,1,128128,1,171125.86850413395,2
278,57,31,649,2,20119,0,28256.951240545364,0
279,18,38,1093,0,41534,0,40527.191469623314,0
280,28,43,3412,0,146716,1,187500.17519916603,1
281,45,23,1384,0,31832,0,39004.413795168,0
282,42,4,3423,0,13692,0,19210.89633378906,1
283,67,52,1508,1,78416,1,86341.7192291572,2
284,40,16,4905,1,78480,1,65633.55398152082,3
285,48,7,1116,2,7812,0,9389.479418377005,0
286,47,22,347,0,7634,0,11231.253961705212,0
287,59,29,4951,1,143579,0,116333.71108552632,3
288,52,11,2314,1,25454,0,24644.06878611361,2
289,24,56,4216,0,236096,0,241112.43865755823,3
290,33,33,4140,1,136620,0,182536.2362045656,3
291,43,58,4271,2,247718,1,254231.4588759777,3
292,65,29,2995,2,86855,0,84019.9402565411,1
293,69,59,642,0,37878,1,47498.65633038781,0
294,66,39,3144,2,122616,0,102075.82163786936,1
295,19,12,4136,1,49632,0,45632.54434743077,3
296,18,7,598,2,4186,1,4544.410176047204,0
297,65,59,1351,1,79709,0,83608.36217871308,0
298,29,55,3992,0,219560,0,229004.60908192943,3
299,22,39,3195,0,124605,0,109152.54818684282,1
300,54,42,2416,1,101472,0,106808.21091752684,2
301,49,48,1907,1,91536,0,124360.34646390352,2
302,26,26,3531,2,91806,0,100040.16655314816,1
303,58,40,2187,1,87480,0,105878.7786733733,2
304,52,9,4802,0,43218,0,39523.102438313086,3
305,36,41,2768,1,113488,0,96328.38225212524,1
306,65,34,360,2,12240,0,17331.46336726961,0
307,33,45,4635,2,208575,0,215241.2274688004,3
308,20,13,4104,1,53352,0,55765.43444105571,3
309,37,55,3773,2,207515,0,293505.3758592237,1
310,41,55,3377,2,185735,1,240608.5380426959,1
311,50,36,2025,0,72900,0,96912.08614169787,2
312,41,25,4124,1,103100,0,131700.1914523802,3
313,69,24,1823,0,43752,0,38241.63560588351,2
314,28,44,1376,0,60544,0,89035.82929301976,0
315,66,17,3920,2,66640,0,95721.38952194357,3
316,25,2,3420,0,6840,0,6603.021967269004,1
317,53,13,3459,1,44967,0,61280.84475521558,1
318,55,31,330,1,10230,0,11115.687845952309,0
319,57,29,3762,1,109098,1,139496.72606205553,1
320,37,50,1699,0,84950,0,77807.58238389397,2
321,52,28,2988,1,83664,0,98471.52197884314,1
322,65,27,3908,1,105516,0,93764.83182505416,3
323,42,15,1907,0,28605,1,33619.943235548235,2
324,52,31,1969,0,61039,0,59239.31203864335,2
325,42,40,1518,0,60720,0,67807.6373387897,2
326,46,15,3579,0,53685,0,68049.95483373152,1
327,35,33,2973,2,98109,0,138721.43709249914,1
328,63,20,3190,0,63800,0,58421.80687778851,1
329,35,42,3244,0,136248,0,194192.6913062014,1
330,19,12,575,1,6900,0,7403.881839488811,0
331,52,37,3236,1,119732,0,166506.2155266235,1
332,33,9,860,0,7740,1,8968.984621987442,0
333,58,23,1603,0,36869,1,51747.33748262949,2
334,53,8,940,0,7520,0,9505.10589142633,0
335,50,32,503,1,16096,0,18608.60649955725,0
